timestamp,sub_region_code,subba-name,parent,parent-name,timezone,demand_mwh,value-units
2025-06-29,ZONC,Central,NYIS,New York Independent System Operator,Pacific,37753,megawatthours
2025-06-29,ZOND,North,NYIS,New York Independent System Operator,Arizona,13049,megawatthours
2025-06-29,ZOND,North,NYIS,New York Independent System Operator,Central,13088,megawatthours
2025-06-29,ZOND,North,NYIS,New York Independent System Operator,Eastern,13081,megawatthours
2025-06-29,ZOND,North,NYIS,New York Independent System Operator,Mountain,13079,megawatthours
2025-06-29,ZOND,North,NYIS,New York Independent System Operator,Pacific,13049,megawatthours
2025-06-29,ZONE,Mohawk Valley,NYIS,New York Independent System Operator,Arizona,17857,megawatthours
2025-06-29,ZONE,Mohawk Valley,NYIS,New York Independent System Operator,Central,17944,megawatthours
2025-06-29,ZONE,Mohawk Valley,NYIS,New York Independent System Operator,Eastern,18005,megawatthours
2025-06-29,ZONE,Mohawk Valley,NYIS,New York Independent System Operator,Mountain,17892,megawatthours
2025-06-29,ZONE,Mohawk Valley,NYIS,New York Independent System Operator,Pacific,17857,megawatthours
2025-06-29,ZONF,Capital,NYIS,New York Independent System Operator,Arizona,31680,megawatthours
2025-06-29,ZONF,Capital,NYIS,New York Independent System Operator,Central,31933,megawatthours
2025-06-29,ZONF,Capital,NYIS,New York Independent System Operator,Eastern,32136,megawatthours
2025-06-29,ZONF,Capital,NYIS,New York Independent System Operator,Mountain,31768,megawatthours
2025-06-29,ZONF,Capital,NYIS,New York Independent System Operator,Pacific,31680,megawatthours
2025-06-29,ZONG,Hudson Valley,NYIS,New York Independent System Operator,Arizona,30804,megawatthours
2025-06-29,ZONG,Hudson Valley,NYIS,New York Independent System Operator,Central,30962,megawatthours
2025-06-29,ZONG,Hudson Valley,NYIS,New York Independent System Operator,Eastern,31041,megawatthours
2025-06-29,ZONG,Hudson Valley,NYIS,New York Independent System Operator,Mountain,30883,megawatthours
2025-06-29,ZONG,Hudson Valley,NYIS,New York Independent System Operator,Pacific,30804,megawatthours
2025-06-29,ZONH,Millwood,NYIS,New York Independent System Operator,Arizona,9124,megawatthours
2025-06-29,ZONH,Millwood,NYIS,New York Independent System Operator,Central,9121,megawatthours
2025-06-29,ZONH,Millwood,NYIS,New York Independent System Operator,Eastern,9110,megawatthours
2025-06-29,ZONH,Millwood,NYIS,New York Independent System Operator,Mountain,9120,megawatthours
2025-06-29,ZONH,Millwood,NYIS,New York Independent System Operator,Pacific,9124,megawatthours
2025-06-29,ZONI,Dunwoodie,NYIS,New York Independent System Operator,Arizona,20323,megawatthours
2025-06-29,ZONI,Dunwoodie,NYIS,New York Independent System Operator,Central,20316,megawatthours
2025-06-29,ZONI,Dunwoodie,NYIS,New York Independent System Operator,Eastern,20287,megawatthours
2025-06-29,ZONI,Dunwoodie,NYIS,New York Independent System Operator,Mountain,20338,megawatthours
2025-06-29,ZONI,Dunwoodie,NYIS,New York Independent System Operator,Pacific,20323,megawatthours
2025-06-29,ZONJ,New York City,NYIS,New York Independent System Operator,Arizona,171862,megawatthours
2025-06-29,ZONJ,New York City,NYIS,New York Independent System Operator,Central,171125,megawatthours
2025-06-29,ZONJ,New York City,NYIS,New York Independent System Operator,Eastern,170642,megawatthours
2025-06-29,ZONJ,New York City,NYIS,New York Independent System Operator,Mountain,171506,megawatthours
2025-06-29,ZONJ,New York City,NYIS,New York Independent System Operator,Pacific,171862,megawatthours
2025-06-29,ZONK,Long Island,NYIS,New York Independent System Operator,Arizona,80047,megawatthours
2025-06-29,ZONK,Long Island,NYIS,New York Independent System Operator,Central,79776,megawatthours
2025-06-29,ZONK,Long Island,NYIS,New York Independent System Operator,Eastern,79552,megawatthours
2025-06-29,ZONK,Long Island,NYIS,New York Independent System Operator,Mountain,79938,megawatthours
2025-06-29,ZONK,Long Island,NYIS,New York Independent System Operator,Pacific,80047,megawatthours
2025-06-29,AE,Atlantic Electric zone,PJM,"PJM Interconnection, LLC",Eastern,43565,megawatthours
2025-06-29,AEP,American Electric Power zone,PJM,"PJM Interconnection, LLC",Eastern,411687,megawatthours
2025-06-29,AP,Allegheny Power zone,PJM,"PJM Interconnection, LLC",Eastern,147645,megawatthours
2025-06-29,ATSI,"American Transmission Systems, Inc. zone",PJM,"PJM Interconnection, LLC",Eastern,214600,megawatthours
2025-06-29,BC,Baltimore Gas & Electric zone,PJM,"PJM Interconnection, LLC",Eastern,105504,megawatthours
2025-06-29,CE,Commonwealth Edison zone,PJM,"PJM Interconnection, LLC",Eastern,339911,megawatthours
2025-06-29,DAY,Dayton Power & Light zone,PJM,"PJM Interconnection, LLC",Eastern,51579,megawatthours
